,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,rapid valley,75,US,1580404638,60,44.06,-103.15,41,17.22
98,udachnyy,100,RU,1580404638,76,66.42,112.4,-7.6,6.71
99,pedasi,36,PA,1580404638,74,7.53,-80.03,80.8,14.52
100,maputo,75,MZ,1580404577,69,-25.97,32.59,80.6,8.05
101,kavieng,100,PG,1580404105,79,-2.57,150.8,82.98,6.53
102,susegana,5,IT,1580404638,93,45.85,12.25,48.2,4.7
103,qaanaaq,95,GL,1580403855,96,77.48,-69.36,-20.51,4.25
104,puerto ayora,20,EC,1580404105,55,-0.74,-90.35,87.8,12.75
105,constitucion,0,CL,1580404111,42,-35.33,-72.42,69.78,11.36
106,namibe,75,AO,1580403909,66,-15.2,12.15,84.2,14.99
108,roald,100,NO,1580404638,55,62.58,6.13,41,14.99
109,acapulco,40,MX,1580404528,54,16.86,-99.89,80.6,5.82
111,taoudenni,19,ML,1580404638,10,22.68,-3.98,71.17,10.36
114,loreto,100,MX,1580404639,31,22.27,-101.97,59.7,26.73
115,port blair,81,IN,1580404639,68,11.67,92.75,79.05,9.93
116,igrim,100,RU,1580404639,94,63.19,64.42,-10.16,8.32
117,yara,0,CU,1580404639,54,20.28,-76.95,84.2,9.08
118,nanga eboko,85,CM,1580404639,20,4.68,12.37,77.27,2.44
119,maragogi,54,BR,1580404639,75,-9.01,-35.22,81.77,12.35
120,umm kaddadah,29,SD,1580404639,12,13.6,26.69,66.76,12.93
121,santa marta,20,CO,1580404392,74,11.24,-74.2,86,5.82
122,polis,75,CY,1580404639,77,35.04,32.43,60.8,19.46
124,najran,0,SA,1580404552,43,17.49,44.13,69.8,9.17
125,guerrero negro,0,MX,1580404639,33,27.98,-114.06,67.28,14.25
126,torbay,75,CA,1580403914,80,47.67,-52.73,33.01,10.29
127,pisco,20,PE,1580404131,30,-13.7,-76.22,75,9.17
128,port alfred,99,ZA,1580404107,84,-33.59,26.89,71.01,7
129,bredasdorp,0,ZA,1580404108,56,-34.53,20.04,71.6,20.8
130,victoria,0,HK,1580404078,28,22.29,114.16,59,13.87
132,abnub,0,EG,1580404640,48,27.27,31.15,62.6,13.87
134,derzhavinsk,100,KZ,1580404640,87,51.1,66.32,6.3,7.9
135,husavik,90,IS,1580404107,100,66.04,-17.34,30.2,3.36
136,avarua,19,CK,1580404109,88,-21.21,-159.78,78.8,8.05
138,kang,35,BW,1580404640,25,-23.68,22.79,84.43,5.39
139,kangalassy,99,RU,1580404640,74,62.35,129.96,-23.8,4.47
140,sao joao da barra,86,BR,1580404640,59,-21.64,-41.05,89.6,14.99
141,verkhnyaya toyma,94,RU,1580404640,96,62.23,45,-1.46,5.73
143,koumac,0,NC,1580404640,90,-20.57,164.28,67.75,4.92
144,russell,1,US,1580404641,66,32.35,-85.2,55.99,6.93
145,beringovskiy,99,RU,1580404128,96,63.05,179.32,2.1,8.84
146,mar del plata,0,AR,1580404103,30,-38,-57.56,75,11.41
147,aklera,0,IN,1580404641,40,24.42,76.57,56.77,6.87
148,butulan,98,PH,1580404641,80,5.61,125.43,81.41,13.44
150,new norfolk,90,AU,1580404099,77,-42.78,147.06,62.6,6.93
151,puerto escondido,40,MX,1580404101,65,15.85,-97.07,82.4,5.82
152,safford,1,US,1580404641,65,32.83,-109.71,50,3.36
153,hithadhoo,79,MV,1580404115,79,-0.6,73.08,81.41,17.31
154,longyearbyen,75,SJ,1580404102,68,78.22,15.64,24.8,17.22
155,abha,83,SA,1580404588,82,18.22,42.51,60.8,6.93
156,sartell,90,US,1580404546,92,45.62,-94.21,21.2,9.17
157,beloha,15,MG,1580404113,76,-25.17,45.05,70.57,12.95
158,croydon,1,US,1580404555,55,40.09,-74.9,37.99,5.82
159,leningradskiy,100,RU,1580404118,96,69.38,178.42,-15.41,8.81
160,kapit,100,MY,1580404642,98,2.02,112.93,71.47,1.21
161,upernavik,100,GL,1580404102,88,72.79,-56.15,-13.56,4.9
162,qasigiannguit,20,GL,1580404642,59,68.82,-51.19,-0.4,9.17
163,monrovia,75,LR,1580404642,74,6.3,-10.8,86,4.7
164,alofi,95,NU,1580404127,94,-19.06,-169.92,77,8.03
165,rocha,100,UY,1580404136,84,-34.48,-54.33,66.15,13.62
166,hami,94,CN,1580404642,70,42.8,93.45,11.21,2.57
167,amantea,40,IT,1580404642,76,39.13,16.07,57.2,5.82
168,talnakh,40,RU,1580404121,74,69.49,88.4,-25.6,11.18
169,faanui,99,PF,1580404097,73,-16.48,-151.75,82.78,8.1
170,pachelma,90,RU,1580404642,93,53.24,43.35,29.93,15.7
171,airai,30,TL,1580404118,87,-8.93,125.41,67.5,4.05
172,juba,100,SS,1580404642,23,4.85,31.58,86.18,5.46
173,vostok,97,RU,1580404101,99,46.49,135.88,-1.52,1.52
174,acarau,70,BR,1580404642,62,-2.89,-40.12,86.54,11.41
175,kapaa,40,US,1580404110,93,22.08,-159.32,68,6.93
176,mayo,5,US,1580404102,55,38.89,-76.51,39.99,4.7
177,oktyabrskoye,51,RU,1580404643,68,43.06,44.74,33.8,6.71
178,omboue,99,GA,1580404643,90,-1.57,9.26,77.7,3.53
179,ponta do sol,0,PT,1580404108,64,32.67,-17.1,68,9.17
180,vanimo,98,PG,1580404643,83,-2.67,141.3,82.71,12.01
181,ampanihy,17,MG,1580404643,77,-24.7,44.75,70.99,13.78
182,glendive,90,US,1580404643,97,47.11,-104.71,35.6,16.11
183,ajdabiya,0,LY,1580404643,77,30.76,20.23,62.26,14.61
184,plouzane,90,FR,1580404643,100,48.38,-4.62,53.6,14.99
185,aksay,100,RU,1580404643,80,47.26,39.87,39.2,8.95
186,mpanda,100,TZ,1580404643,98,-6.37,31.04,63.79,1.99
187,briancon,60,FR,1580404643,87,44.9,6.65,48,4.18
188,paratinga,48,BR,1580404554,46,-12.69,-43.18,91.4,9.17
189,castro,29,BR,1580404099,93,-24.79,-50.01,74.89,7.31
